feature,mean_class_0,mean_class_1,mean_difference,correlation_with_target,raw_auc,separability_auc
average_historical_failure_probability,0.2640767857142857,0.2904909638554216,0.02641417814113589,0.15324453206570093,0.5917330034423407,0.5917330034423407
historical_failure_rate,0.25001249999999997,0.2939012048192771,0.04388870481927715,0.1161922478523184,0.566390562248996,0.566390562248996
historical_failures,1.75,2.0572289156626504,0.3072289156626504,0.11619023088505832,0.566390562248996,0.566390562248996
historical_click_rate,0.14032440476190478,0.17084156626506025,0.030517161503155477,0.10851381247732012,0.5626434308663224,0.5626434308663224
historical_clicks,0.9821428571428571,1.1957831325301205,0.21364027538726338,0.10852334320097508,0.5626434308663224,0.5626434308663224
historical_credentials_submitted,0.5416666666666666,0.6596385542168675,0.11797188755020083,0.07530095546498417,0.5442842799770511,0.5442842799770511
historical_credential_rate,0.07739583333333334,0.09424969879518072,0.016853865461847375,0.07529865958527864,0.5442842799770511,0.5442842799770511
security_training_completed,0.9166666666666666,0.8554216867469879,-0.0612449799196787,-0.08777306809047922,0.46937751004016065,0.5306224899598393
previous_training_score,79.3452380952381,77.96686746987952,-1.3783706253585848,-0.05716556031485016,0.47430794606999427,0.5256920539300057
training_risk,0.20654761904761906,0.22033132530120483,0.01378370625358577,0.05716556031485013,0.5256920539300057,0.5256920539300057
historical_targeted_attacks,0.39880952380952384,0.3493975903614458,-0.04941193344807804,-0.04845073330888127,0.4752940332759609,0.524705966724039
privilege_risk_value,2.3035714285714284,2.2349397590361444,-0.06863166953528399,-0.0373966106949551,0.4774365318416524,0.5225634681583475
historical_reports,3.5654761904761907,3.4518072289156625,-0.11366896156052819,-0.03825370291458044,0.47782200229489386,0.5221779977051062
historical_reporting_rate,0.5093559523809523,0.4931144578313253,-0.016241494549627034,-0.03826278325892318,0.47782200229489386,0.5221779977051062
historical_attachments_opened,0.23809523809523808,0.23795180722891565,-0.0001434308663224304,-0.00015908540420270557,0.49992828456683874,0.5000717154331613
historical_attachment_rate,0.03402380952380952,0.03400331325301204,-2.0496270797476512e-05,-0.00015908540420261997,0.49992828456683874,0.5000717154331613
historical_simulations,7.0,7.0,0.0,,0.5,0.5
